Multi-GPU support is disabled. Using a single GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/fineweb10B/fineweb_train_*.bin            |
| val data pattern      | dev/data/fineweb10B/fineweb_val_*.bin              |
| output log dir        | log124M                                            |
| checkpoint_every      | 5000                                               |
| resume                | 0                                                  |
| micro batch size B    | 32                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 6.000000e-04                                       |
| warmup iterations     | 700                                                |
| final LR fraction     | 0.000000e+00                                       |
| weight decay          | 1.000000e-01                                       |
| skip update lossz     | 0.000000                                           |
| skip update gradz     | 0.000000                                           |
| max_steps             | -1                                                 |
| val_loss_every        | 250                                                |
| val_max_steps         | 20                                                 |
| sample_every          | 20000                                              |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
| use_master_weights    | enabled                                            |
| gelu_fusion           | 0                                                  |
| recompute             | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA A100-PCIE-40GB                              |
| peak TFlops           | 312.0                                              |
| precision             | BF16                                               |
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 19560                                              |
| val_num_batches       | 20                                                 |
+-----------------------+----------------------------------------------------+
| run hellaswag         | yes                                                |
+-----------------------+----------------------------------------------------+
| num_processes         | 1                                                  |
| zero_stage            | 1                                                  |
+-----------------------+----------------------------------------------------+
num_parameters: 124475904 => bytes: 248951808
allocated 237 MiB for model parameters
batch_size B=32 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=16
---
WARNING: Failed to open the tokenizer file gpt2_tokenizer.bin
The Tokenizer is a new feature added April 14 2024.
Re-run `python train_gpt2.py` to write it
---
allocating 237 MiB for parameter gradients
allocating 19806 MiB for activations
allocating 474 MiB for AdamW optimizer state m
allocating 474 MiB for AdamW optimizer state v
allocating 474 MiB for master copy of params
device memory usage: 22198 MiB / 40338 MiB
memory per sequence: 618 MiB
 -> estimated maximum batch size: 61
val loss nan
step    1/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 8.57e-07 | 3994.72 ms | 33.8% bf16 MFU | 131245 tok/s
step    2/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.71e-06 | 3694.99 ms | 36.5% bf16 MFU | 141892 tok/s
step    3/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.57e-06 | 3706.88 ms | 36.4% bf16 MFU | 141658 tok/s
step    4/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.43e-06 | 3568.69 ms | 37.8% bf16 MFU | 143500 tok/s
step    5/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 4.29e-06 | 3559.82 ms | 37.9% bf16 MFU | 144519 tok/s
step    6/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 5.14e-06 | 3696.34 ms | 36.5% bf16 MFU | 143927 tok/s
step    7/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 6.00e-06 | 3556.83 ms | 38.0% bf16 MFU | 144583 tok/s
step    8/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 6.86e-06 | 3613.69 ms | 37.4% bf16 MFU | 144666 tok/s
step    9/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 7.71e-06 | 3561.16 ms | 37.9% bf16 MFU | 145046 tok/s
step   10/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 8.57e-06 | 3555.93 ms | 38.0% bf16 MFU | 145370 tok/s
step   11/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 9.43e-06 | 3575.71 ms | 37.8% bf16 MFU | 145526 tok/s
step   12/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.03e-05 | 3573.85 ms | 37.8% bf16 MFU | 145662 tok/s
step   13/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.11e-05 | 3570.51 ms | 37.8% bf16 MFU | 145790 tok/s
step   14/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.20e-05 | 3574.62 ms | 37.8% bf16 MFU | 145881 tok/s
step   15/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.29e-05 | 3572.93 ms | 37.8% bf16 MFU | 145964 tok/s
step   16/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.37e-05 | 3644.13 ms | 37.1% bf16 MFU | 145769 tok/s
step   17/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.46e-05 | 3584.49 ms | 37.7% bf16 MFU | 145814 tok/s
step   18/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.54e-05 | 3657.33 ms | 36.9% bf16 MFU | 145602 tok/s
step   19/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.63e-05 | 3598.25 ms | 37.5% bf16 MFU | 145611 tok/s
step   20/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.71e-05 | 3597.62 ms | 37.5% bf16 MFU | 145621 tok/s
step   21/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.80e-05 | 3600.58 ms | 37.5% bf16 MFU | 145620 tok/s
step   22/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.89e-05 | 3598.53 ms | 37.5% bf16 MFU | 145626 tok/s
step   23/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.97e-05 | 3598.69 ms | 37.5% bf16 MFU | 145630 tok/s
step   24/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.06e-05 | 3593.94 ms | 37.6% bf16 MFU | 145648 tok/s
step   25/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.14e-05 | 3593.89 ms | 37.6% bf16 MFU | 145665 tok/s
step   26/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.23e-05 | 3601.72 ms | 37.5% bf16 MFU | 145658 tok/s
step   27/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.31e-05 | 3601.50 ms | 37.5% bf16 MFU | 145652 tok/s
step   28/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.40e-05 | 3605.38 ms | 37.4% bf16 MFU | 145637 tok/s
step   29/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.49e-05 | 3600.39 ms | 37.5% bf16 MFU | 145636 tok/s
step   30/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.57e-05 | 3609.35 ms | 37.4% bf16 MFU | 145611 tok/s
step   31/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.66e-05 | 3604.68 ms | 37.5% bf16 MFU | 145601 tok/s
step   32/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.74e-05 | 3607.05 ms | 37.4% bf16 MFU | 145585 tok/s
step   33/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.83e-05 | 3605.44 ms | 37.4% bf16 MFU | 145575 tok/s
step   34/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.91e-05 | 3606.05 ms | 37.4% bf16 MFU | 145563 tok/s
step   35/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.00e-05 | 3621.31 ms | 37.3% bf16 MFU | 145516 tok/s
step   36/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.09e-05 | 3610.24 ms | 37.4% bf16 MFU | 145498 tok/s
step   37/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.17e-05 | 3602.93 ms | 37.5% bf16 MFU | 145499 tok/s
step   38/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.26e-05 | 3605.46 ms | 37.4% bf16 MFU | 145494 tok/s
step   39/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.34e-05 | 3606.20 ms | 37.4% bf16 MFU | 145488 tok/s
