Multi-GPU support is disabled. Using a single GPU.
+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/fineweb10B/fineweb_train_*.bin            |
| val data pattern      | dev/data/fineweb10B/fineweb_val_*.bin              |
| output log dir        | log124M                                            |
| checkpoint_every      | 5000                                               |
| resume                | 0                                                  |
| micro batch size B    | 32                                                 |
| sequence length T     | 1024                                               |
| total batch size      | 524288                                             |
| LR scheduler          | cosine                                             |
| learning rate (LR)    | 6.000000e-04                                       |
| warmup iterations     | 700                                                |
| final LR fraction     | 0.000000e+00                                       |
| weight decay          | 1.000000e-01                                       |
| skip update lossz     | 0.000000                                           |
| skip update gradz     | 0.000000                                           |
| max_steps             | -1                                                 |
| val_loss_every        | 250                                                |
| val_max_steps         | 20                                                 |
| sample_every          | 20000                                              |
| genT                  | 64                                                 |
| overfit_single_batch  | 0                                                  |
| use_master_weights    | enabled                                            |
| gelu_fusion           | 0                                                  |
| recompute             | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA A100-PCIE-40GB                              |
| peak TFlops           | 312.0                                              |
| precision             | BF16                                               |
+-----------------------+----------------------------------------------------+
| weight init method    | d12                                                |
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 19560                                              |
| val_num_batches       | 20                                                 |
+-----------------------+----------------------------------------------------+
| run hellaswag         | yes                                                |
+-----------------------+----------------------------------------------------+
| num_processes         | 1                                                  |
| zero_stage            | 1                                                  |
+-----------------------+----------------------------------------------------+
num_parameters: 124475904 => bytes: 248951808
allocated 237 MiB for model parameters
batch_size B=32 * seq_len T=1024 * num_processes=1 and total_batch_size=524288
=> setting grad_accum_steps=16
---
WARNING: Failed to open the tokenizer file gpt2_tokenizer.bin
The Tokenizer is a new feature added April 14 2024.
Re-run `python train_gpt2.py` to write it
---
allocating 237 MiB for parameter gradients
allocating 19806 MiB for activations
allocating 474 MiB for AdamW optimizer state m
allocating 474 MiB for AdamW optimizer state v
allocating 474 MiB for master copy of params
device memory usage: 22198 MiB / 40338 MiB
memory per sequence: 618 MiB
 -> estimated maximum batch size: 61
val loss nan
step    1/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 8.57e-07 | 3788.44 ms | 35.6% bf16 MFU | 138391 tok/s
step    2/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.71e-06 | 3646.20 ms | 37.0% bf16 MFU | 143790 tok/s
step    3/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.57e-06 | 3603.56 ms | 37.5% bf16 MFU | 144663 tok/s
step    4/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 3.43e-06 | 3543.60 ms | 38.1% bf16 MFU | 145816 tok/s
step    5/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 4.29e-06 | 3629.00 ms | 37.2% bf16 MFU | 145454 tok/s
step    6/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 5.14e-06 | 3522.17 ms | 38.3% bf16 MFU | 146205 tok/s
step    7/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 6.00e-06 | 3519.82 ms | 38.4% bf16 MFU | 146724 tok/s
step    8/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 6.86e-06 | 3608.81 ms | 37.4% bf16 MFU | 146485 tok/s
step    9/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 7.71e-06 | 3526.99 ms | 38.3% bf16 MFU | 146806 tok/s
step   10/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 8.57e-06 | 3532.45 ms | 38.2% bf16 MFU | 147025 tok/s
step   11/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 9.43e-06 | 3544.79 ms | 38.1% bf16 MFU | 147134 tok/s
step   12/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.03e-05 | 3561.26 ms | 37.9% bf16 MFU | 147144 tok/s
step   13/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.11e-05 | 3545.90 ms | 38.1% bf16 MFU | 147222 tok/s
step   14/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.20e-05 | 3545.07 ms | 38.1% bf16 MFU | 147291 tok/s
step   15/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.29e-05 | 3548.90 ms | 38.0% bf16 MFU | 147334 tok/s
step   16/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.37e-05 | 3556.14 ms | 38.0% bf16 MFU | 147343 tok/s
step   17/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.46e-05 | 3553.79 ms | 38.0% bf16 MFU | 147360 tok/s
step   18/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.54e-05 | 3564.65 ms | 37.9% bf16 MFU | 147335 tok/s
step   19/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.63e-05 | 3585.41 ms | 37.7% bf16 MFU | 147244 tok/s
step   20/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.71e-05 | 3553.61 ms | 38.0% bf16 MFU | 147267 tok/s
step   21/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.80e-05 | 3553.72 ms | 38.0% bf16 MFU | 147288 tok/s
step   22/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.89e-05 | 3558.97 ms | 37.9% bf16 MFU | 147290 tok/s
step   23/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 1.97e-05 | 3554.74 ms | 38.0% bf16 MFU | 147305 tok/s
step   24/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.06e-05 | 3564.22 ms | 37.9% bf16 MFU | 147290 tok/s
step   25/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.14e-05 | 3563.97 ms | 37.9% bf16 MFU | 147277 tok/s
step   26/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.23e-05 | 3558.72 ms | 37.9% bf16 MFU | 147280 tok/s
step   27/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.31e-05 | 3569.21 ms | 37.8% bf16 MFU | 147254 tok/s
step   28/19560 | loss     nan (+nanz)| norm    nan (+nanz)| lr 2.40e-05 | 3580.24 ms | 37.7% bf16 MFU | 147199 tok/s
